model,accuracy,macro_f1,weighted_f1,precision_dog,recall_dog,train_total_size,train_model_size,validation_size,test_size,epochs_configured,fine_tune_epochs,examples_saved
ResNet50,0.9889303814350493,0.9889302583722954,0.9889302583722955,0.985691573926868,0.9922646038943719,17493,14869,2624,7498,8,0,8
MobileNetV2,0.9846625766871165,0.9846623472498159,0.9846623472498158,0.9809422975119111,0.9885302747399306,17493,14869,2624,7498,8,0,8
VGG16,0.9765270738863697,0.9765268333928976,0.9765268333928977,0.9734958918632388,0.9797279274473193,17493,14869,2624,7498,8,0,8
